,date,tweet,clean_tweet,processed,sentiment,main_topic
0,2023-01-01,"Resuelto, muchísimas gracias , excelente servicio como siempre","resuelto , muchísimas , excelente servicio siempre","['resuelto', 'muchísimas', 'excelente', 'servicio', 'siempre']",Neutral,Comentario
1,2023-01-02,"Muchas gracias, espero su dm",", espero dm","['espero', 'dm']",Neutral,Ayuda
2,2023-01-02,Muchas gracias!,!,[],Neutral,Comentario
3,2023-01-02,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,similar paso . quería renovar token poder hacer transferencia cerrar cuenta wow . fácil sacar dinero ventanilla .,"['similar', 'paso', 'quería', 'renovar', 'token', 'poder', 'hacer', 'transferencia', 'cerrar', 'cuenta', 'wow', 'fácil', 'sacar', 'dinero', 'ventanilla']",Positive,Comentario
4,2023-01-02,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,yeeeei ! través cuenta acabo contratar cuenta ahorro reto 2023 tener 25 mil pesos final año . súper herramienta domiciliar cuenta eje ahorrar disciplinadamente cada semana ! vamos ! ! !,"['yeeeei', 'través', 'cuenta', 'acabo', 'contratar', 'cuenta', 'ahorro', 'reto', '2023', 'tener', '25', 'mil', 'pesos', 'final', 'año', 'súper', 'herramienta', 'domiciliar', 'cuenta', 'eje', 'ahorrar', 'disciplinadamente', 'cada', 'semana', 'vamos']",Neutral,Aplicación
5,2023-01-02,Esta es la señal que necesitan para tener el mínimo dinero en banamex,señal necesitan tener mínimo dinero banamex,"['señal', 'necesitan', 'tener', 'mínimo', 'dinero', 'banamex']",Neutral,Crédito
6,2023-01-03,Gracias 😁,,[],Neutral,Comentario
7,2023-01-03,Muchas gracias 😊,,[],Neutral,Comentario
8,2023-01-03,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.","sé , recomiendo inversión . mejores rendimientos visto , plazo 7 . chingón , límite 20k inversón .","['sé', 'recomiendo', 'inversión', 'mejores', 'rendimientos', 'visto', 'plazo', '7', 'chingón', 'límite', '20k', 'inversón']",Neutral,Contrataciones
9,2023-01-04,Gracias por la playera que me dieron en Galerías GDL.,playera dieron galerías gdl .,"['playera', 'dieron', 'galerías', 'gdl']",Neutral,Comentario
10,2023-01-04,buen día...tengo problemas con mi cuenta,buen ... problemas cuenta,"['buen', 'problemas', 'cuenta']",Neutral,Comentario
11,2023-01-05,Gracias,,[],Neutral,Comentario
12,2023-01-05,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,respetos ustedes ... servicio,"['respetos', 'ustedes', 'servicio']",Neutral,Contrataciones
13,2023-01-05,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias","bloquee desbloquee pude hacer deposito oxxo ,","['bloquee', 'desbloquee', 'pude', 'hacer', 'deposito', 'oxxo']",Neutral,Comentario
14,2023-01-06,"Ya todo bien, gracias 👍","bien ,",['bien'],Neutral,Comentario
15,2023-01-06,Milagro que me gano algo 🫶🏻,milagro gano,"['milagro', 'gano']",Neutral,Comentario
16,2023-01-06,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,siii amigo jajaja padre puedes inveir da buen rendimiento,"['siii', 'amigo', 'jajaja', 'padre', 'puedes', 'inveir', 'da', 'buen', 'rendimiento']",Neutral,Crédito
17,2023-01-06,nunca había ganado nada antes ✨ hahaha,nunca ganado hahaha,"['nunca', 'ganado', 'hahaha']",Positive,Comentario
18,2023-01-06,Con el CashBack de pude pagar mi servicio de internet. yei :),cashback pude pagar servicio internet . yei : ),"['cashback', 'pude', 'pagar', 'servicio', 'internet', 'yei']",Neutral,Contrataciones
19,2023-01-07,Gracias!!!,! ! !,[],Neutral,Comentario
20,2023-01-07,"Listo, gracias",",",[],Neutral,Comentario
21,2023-01-07,Si gracias,,[],Neutral,Comentario
22,2023-01-08,A mí me llegó una semana después aprox,llegó semana después aprox,"['llegó', 'semana', 'después', 'aprox']",Neutral,Comentario
23,2023-01-09,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,buen dudas cuenta podrían ponerse contacto ... ..,"['buen', 'dudas', 'cuenta', 'podrían', 'ponerse', 'contacto']",Neutral,Comentario
24,2023-01-10,Muchas gracias!,!,[],Neutral,Comentario
25,2023-01-10,Muchas gracias 🙏,,[],Neutral,Comentario
